circleRadius	direction	n	RT_mean	RT_raw										RT_std	choice_mean	choice_raw										choice_std	order									
3	-1	10.0	0.2677621364593506	0.37519699335098267	 0.47635629773139954	 0.1666429489850998	 0.12006872147321701	 0.14933183789253235	 0.5218605995178223	 0.12646710872650146	 0.7275310754776001	 0.006657351739704609	 0.007508472073823214	0.24334324468917887	0.4	1.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 1.0	0.5163977794943223	5.0	 12.0	 19.0	 30.0	 37.0	 43.0	 52.0	 62.0	 69.0	 73.0
3	1	10.0	0.45052647590637207	0.9673625826835632	 0.7467098832130432	 0.6055158972740173	 0.23880672454833984	 0.7134607434272766	 0.1489488035440445	 0.4138762354850769	 0.06810767948627472	 0.44699329137802124	 0.15548276901245117	0.30155620735271155	0.6	0.0	 1.0	 0.0	 1.0	 0.0	 1.0	 1.0	 1.0	 1.0	 0.0	0.5163977794943223	6.0	 14.0	 23.0	 28.0	 36.0	 45.0	 53.0	 58.0	 64.0	 78.0
8	-1	10.0	0.5100015640258789	0.5674744248390198	 0.32081669569015503	 0.5329501628875732	 0.0754576101899147	 0.4224778711795807	 0.998366117477417	 0.6207134127616882	 0.16559603810310364	 0.9581603407859802	 0.4380030632019043	0.30027983560975385	0.7	1.0	 0.0	 1.0	 1.0	 0.0	 1.0	 0.0	 1.0	 1.0	 1.0	0.4830458915396479	4.0	 9.0	 21.0	 26.0	 39.0	 40.0	 49.0	 56.0	 70.0	 76.0
8	1	10.0	0.6199817657470703	0.6024876236915588	 0.7393983006477356	 0.03095931187272072	 0.8736656904220581	 0.531198263168335	 0.8475779891014099	 0.6433706283569336	 0.8800421953201294	 0.8865299820899963	 0.16458767652511597	0.3040763946214298	0.6	0.0	 0.0	 1.0	 1.0	 1.0	 1.0	 1.0	 1.0	 0.0	 0.0	0.5163977794943223	0.0	 13.0	 18.0	 24.0	 35.0	 47.0	 55.0	 59.0	 67.0	 74.0
13	-1	10.0	0.48138985633850095	0.6840105652809143	 0.282465398311615	 0.19361193478107452	 0.5669966340065002	 0.4931359887123108	 0.47009003162384033	 0.18080802261829376	 0.8510270714759827	 0.9312601089477539	 0.16049312055110931	0.27955827670639893	0.5	1.0	 1.0	 0.0	 1.0	 0.0	 0.0	 1.0	 1.0	 0.0	 0.0	0.5270462766947299	7.0	 11.0	 16.0	 27.0	 33.0	 42.0	 51.0	 60.0	 68.0	 77.0
13	1	10.0	0.5743533611297608	0.9534524083137512	 0.7109026908874512	 0.02482752501964569	 0.9379373788833618	 0.8623341917991638	 0.154532328248024	 0.8917702436447144	 0.3228863775730133	 0.696952223777771	 0.18793819844722748	0.36271395651127675	0.5	0.0	 0.0	 1.0	 1.0	 0.0	 1.0	 0.0	 1.0	 1.0	 0.0	0.5270462766947299	2.0	 8.0	 17.0	 25.0	 34.0	 46.0	 48.0	 63.0	 65.0	 79.0
18	-1	10.0	0.5571079254150391	0.5964452028274536	 0.7477791905403137	 0.757954478263855	 0.21445845067501068	 0.31638965010643005	 0.8193199634552002	 0.8445443511009216	 0.24517886340618134	 0.1463662087917328	 0.8826425075531006	0.29381633615228153	0.3	1.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	0.48304589153964805	3.0	 10.0	 20.0	 29.0	 38.0	 44.0	 54.0	 57.0	 71.0	 72.0
18	1	10.0	0.5045388221740723	0.7177721858024597	 0.4029545485973358	 0.3865032196044922	 0.3963280916213989	 0.5846724510192871	 0.8298629522323608	 0.39675891399383545	 0.2182975858449936	 0.6977779269218445	 0.41446033120155334	0.19226516003666738	0.3	0.0	 0.0	 0.0	 0.0	 1.0	 1.0	 0.0	 0.0	 1.0	 0.0	0.4830458915396479	1.0	 15.0	 22.0	 31.0	 32.0	 41.0	 50.0	 61.0	 66.0	 75.0

extraInfo
participant	Nobody
session	001
﻿session	participant	TrialNumber	circleRadius	direction	ran	order	RT	choice
001	Nobody	1	8	1	1.0	0.0	0.6024876	0.0
001	Nobody	2	18	1	1.0	1.0	0.7177722	0.0
001	Nobody	3	13	1	1.0	2.0	0.9534524	0.0
001	Nobody	4	18	-1	1.0	3.0	0.5964452	1.0
001	Nobody	5	8	-1	1.0	4.0	0.5674744	1.0
001	Nobody	6	3	-1	1.0	5.0	0.375197	1.0
001	Nobody	7	3	1	1.0	6.0	0.9673626	0.0
001	Nobody	8	13	-1	1.0	7.0	0.68401057	1.0
001	Nobody	9	13	1	1.0	8.0	0.7109027	0.0
001	Nobody	10	8	-1	1.0	9.0	0.3208167	0.0
001	Nobody	11	18	-1	1.0	10.0	0.7477792	1.0
001	Nobody	12	13	-1	1.0	11.0	0.2824654	1.0
001	Nobody	13	3	-1	1.0	12.0	0.4763563	0.0
001	Nobody	14	8	1	1.0	13.0	0.7393983	0.0
001	Nobody	15	3	1	1.0	14.0	0.7467099	1.0
001	Nobody	16	18	1	1.0	15.0	0.40295455	0.0
001	Nobody	17	13	-1	1.0	16.0	0.19361193	0.0
001	Nobody	18	13	1	1.0	17.0	0.024827525	1.0
001	Nobody	19	8	1	1.0	18.0	0.030959312	1.0
001	Nobody	20	3	-1	1.0	19.0	0.16664295	1.0
001	Nobody	21	18	-1	1.0	20.0	0.7579545	0.0
001	Nobody	22	8	-1	1.0	21.0	0.53295016	1.0
001	Nobody	23	18	1	1.0	22.0	0.38650322	0.0
001	Nobody	24	3	1	1.0	23.0	0.6055159	0.0
001	Nobody	25	8	1	1.0	24.0	0.8736657	1.0
001	Nobody	26	13	1	1.0	25.0	0.9379374	1.0
001	Nobody	27	8	-1	1.0	26.0	0.07545761	1.0
001	Nobody	28	13	-1	1.0	27.0	0.56699663	1.0
001	Nobody	29	3	1	1.0	28.0	0.23880672	1.0
001	Nobody	30	18	-1	1.0	29.0	0.21445845	0.0
001	Nobody	31	3	-1	1.0	30.0	0.12006872	0.0
001	Nobody	32	18	1	1.0	31.0	0.3963281	0.0
001	Nobody	33	18	1	1.0	32.0	0.58467245	1.0
001	Nobody	34	13	-1	1.0	33.0	0.493136	0.0
001	Nobody	35	13	1	1.0	34.0	0.8623342	0.0
001	Nobody	36	8	1	1.0	35.0	0.53119826	1.0
001	Nobody	37	3	1	1.0	36.0	0.71346074	0.0
001	Nobody	38	3	-1	1.0	37.0	0.14933184	0.0
001	Nobody	39	18	-1	1.0	38.0	0.31638965	0.0
001	Nobody	40	8	-1	1.0	39.0	0.42247787	0.0
001	Nobody	41	8	-1	1.0	40.0	0.9983661	1.0
001	Nobody	42	18	1	1.0	41.0	0.82986295	1.0
001	Nobody	43	13	-1	1.0	42.0	0.47009003	0.0
001	Nobody	44	3	-1	1.0	43.0	0.5218606	0.0
001	Nobody	45	18	-1	1.0	44.0	0.81931996	0.0
001	Nobody	46	3	1	1.0	45.0	0.1489488	1.0
001	Nobody	47	13	1	1.0	46.0	0.15453233	1.0
001	Nobody	48	8	1	1.0	47.0	0.847578	1.0
001	Nobody	49	13	1	1.0	48.0	0.89177024	0.0
001	Nobody	50	8	-1	1.0	49.0	0.6207134	0.0
001	Nobody	51	18	1	1.0	50.0	0.3967589	0.0
001	Nobody	52	13	-1	1.0	51.0	0.18080802	1.0
001	Nobody	53	3	-1	1.0	52.0	0.12646711	0.0
001	Nobody	54	3	1	1.0	53.0	0.41387624	1.0
001	Nobody	55	18	-1	1.0	54.0	0.84454435	0.0
001	Nobody	56	8	1	1.0	55.0	0.6433706	1.0
001	Nobody	57	8	-1	1.0	56.0	0.16559604	1.0
001	Nobody	58	18	-1	1.0	57.0	0.24517886	0.0
001	Nobody	59	3	1	1.0	58.0	0.06810768	1.0
001	Nobody	60	8	1	1.0	59.0	0.8800422	1.0
001	Nobody	61	13	-1	1.0	60.0	0.8510271	1.0
001	Nobody	62	18	1	1.0	61.0	0.21829759	0.0
001	Nobody	63	3	-1	1.0	62.0	0.7275311	1.0
