session	participant	TrialNumber	circleRadius	direction	ran	order	probeInitialRadius	responseRadius	respError	respTime
001	Nobody	1	8	-1	1.0	0.0	12.682357	5.01	-2.99	28.358178917085752
001	Nobody	2	18	-1	1.0	1.0	5.6162868	10.616286718414413	-7.383713281585587	9.302244334015995
001	Nobody	3	3	-1	1.0	2.0	9.867003	9.867002969637882	6.867002969637882	0.06307941593695432
001	Nobody	4	13	1	0.0	--	--	--	--	--
001	Nobody	5	13	-1	0.0	--	--	--	--	--
001	Nobody	6	18	1	0.0	--	--	--	--	--
001	Nobody	7	3	1	0.0	--	--	--	--	--
001	Nobody	8	8	1	0.0	--	--	--	--	--
001	Nobody	9	13	-1	0.0	--	--	--	--	--
001	Nobody	10	18	1	0.0	--	--	--	--	--
001	Nobody	11	8	-1	0.0	--	--	--	--	--
001	Nobody	12	3	-1	0.0	--	--	--	--	--
001	Nobody	13	3	1	0.0	--	--	--	--	--
001	Nobody	14	8	1	0.0	--	--	--	--	--
001	Nobody	15	18	-1	0.0	--	--	--	--	--
001	Nobody	16	13	1	0.0	--	--	--	--	--
001	Nobody	17	18	1	0.0	--	--	--	--	--
001	Nobody	18	18	-1	0.0	--	--	--	--	--
001	Nobody	19	13	1	0.0	--	--	--	--	--
001	Nobody	20	8	1	0.0	--	--	--	--	--
001	Nobody	21	3	1	0.0	--	--	--	--	--
001	Nobody	22	8	-1	0.0	--	--	--	--	--
001	Nobody	23	13	-1	0.0	--	--	--	--	--
001	Nobody	24	3	-1	0.0	--	--	--	--	--
001	Nobody	25	18	-1	0.0	--	--	--	--	--
001	Nobody	26	13	-1	0.0	--	--	--	--	--
001	Nobody	27	3	1	0.0	--	--	--	--	--
001	Nobody	28	18	1	0.0	--	--	--	--	--
001	Nobody	29	8	1	0.0	--	--	--	--	--
001	Nobody	30	13	1	0.0	--	--	--	--	--
001	Nobody	31	8	-1	0.0	--	--	--	--	--
001	Nobody	32	3	-1	0.0	--	--	--	--	--
001	Nobody	33	8	-1	0.0	--	--	--	--	--
001	Nobody	34	18	1	0.0	--	--	--	--	--
001	Nobody	35	13	-1	0.0	--	--	--	--	--
001	Nobody	36	8	1	0.0	--	--	--	--	--
001	Nobody	37	18	-1	0.0	--	--	--	--	--
001	Nobody	38	3	1	0.0	--	--	--	--	--
001	Nobody	39	13	1	0.0	--	--	--	--	--
001	Nobody	40	3	-1	0.0	--	--	--	--	--
001	Nobody	41	18	1	0.0	--	--	--	--	--
001	Nobody	42	13	-1	0.0	--	--	--	--	--
001	Nobody	43	18	-1	0.0	--	--	--	--	--
001	Nobody	44	8	-1	0.0	--	--	--	--	--
001	Nobody	45	3	1	0.0	--	--	--	--	--
001	Nobody	46	13	1	0.0	--	--	--	--	--
001	Nobody	47	8	1	0.0	--	--	--	--	--
001	Nobody	48	3	-1	0.0	--	--	--	--	--
001	Nobody	49	18	1	0.0	--	--	--	--	--
001	Nobody	50	13	1	0.0	--	--	--	--	--
001	Nobody	51	3	1	0.0	--	--	--	--	--
001	Nobody	52	18	-1	0.0	--	--	--	--	--
001	Nobody	53	8	-1	0.0	--	--	--	--	--
001	Nobody	54	3	-1	0.0	--	--	--	--	--
001	Nobody	55	8	1	0.0	--	--	--	--	--
001	Nobody	56	13	-1	0.0	--	--	--	--	--
001	Nobody	57	8	1	0.0	--	--	--	--	--
001	Nobody	58	3	-1	0.0	--	--	--	--	--
001	Nobody	59	13	-1	0.0	--	--	--	--	--
001	Nobody	60	3	1	0.0	--	--	--	--	--
001	Nobody	61	18	1	0.0	--	--	--	--	--
001	Nobody	62	13	1	0.0	--	--	--	--	--
001	Nobody	63	8	-1	0.0	--	--	--	--	--
001	Nobody	64	18	-1	0.0	--	--	--	--	--
001	Nobody	65	13	-1	0.0	--	--	--	--	--
001	Nobody	66	18	1	0.0	--	--	--	--	--
001	Nobody	67	8	-1	0.0	--	--	--	--	--
001	Nobody	68	13	1	0.0	--	--	--	--	--
001	Nobody	69	8	1	0.0	--	--	--	--	--
001	Nobody	70	3	-1	0.0	--	--	--	--	--
001	Nobody	71	18	-1	0.0	--	--	--	--	--
001	Nobody	72	3	1	0.0	--	--	--	--	--
001	Nobody	73	3	-1	0.0	--	--	--	--	--
001	Nobody	74	8	1	0.0	--	--	--	--	--
001	Nobody	75	3	1	0.0	--	--	--	--	--
001	Nobody	76	13	1	0.0	--	--	--	--	--
001	Nobody	77	18	1	0.0	--	--	--	--	--
001	Nobody	78	8	-1	0.0	--	--	--	--	--
001	Nobody	79	18	-1	0.0	--	--	--	--	--
001	Nobody	80	13	-1	0.0	--	--	--	--	--
