circleRadius	direction	n	probeInitialRadius_mean	probeInitialRadius_raw										probeInitialRadius_std	respError_raw										respTime_raw										responseRadius_raw										order									
3	-1	1.0	16.836952209472656	16.836952209472656	 	 	 	 	 	 	 	 	 	0.0	6.836951378584903	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	12.185848916997202	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	9.836951378584903	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	1.0	 	 	 	 	 	 	 	 	 
3	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
8	-1	1.0	11.833263397216797	11.833263397216797	 	 	 	 	 	 	 	 	 	0.0	-2.166736785456205	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	5.475110207917169	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	5.833263214543795	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	0.0	 	 	 	 	 	 	 	 	 
8	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	-1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
13	1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	-1	0.0			 	 	 	 	 	 	 	 	 		'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	'--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'		 	 	 	 	 	 	 	 	 
18	1	1.0	12.0637788772583	12.0637788772583	 	 	 	 	 	 	 	 	 	0.0	-9.936221526922585	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	11.144835832994431	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	8.063778473077415	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	 '--'	2.0	 	 	 	 	 	 	 	 	 

extraInfo
participant	Nobody
session	001
