session	participant	TrialNumber	sf	ori	ran	order	RT	choice
001	Nobody	1	2.0	90	1.0	0.0	1.5457343	0.0
001	Nobody	2	2.0	120	1.0	1.0	1.9826176	0.0
001	Nobody	3	0.5	90	1.0	2.0	0.81639	0.0
001	Nobody	4	1.0	120	1.0	3.0	1.2595563	0.0
001	Nobody	5	1.0	90	1.0	4.0	1.2192149	0.0
001	Nobody	6	2.0	150	1.0	5.0	1.4680611	0.0
001	Nobody	7	0.5	150	1.0	6.0	0.749799	0.0
001	Nobody	8	1.0	150	1.0	7.0	0.5641579	0.0
001	Nobody	9	0.5	120	1.0	8.0	1.1565039	1.0
001	Nobody	10	2.0	150	1.0	9.0	1.8002996	1.0
001	Nobody	11	2.0	120	1.0	10.0	1.880856	1.0
001	Nobody	12	2.0	90	1.0	11.0	1.9034762	0.0
001	Nobody	13	1.0	120	1.0	12.0	0.5331263	1.0
001	Nobody	14	0.5	150	1.0	13.0	0.9085622	0.0
001	Nobody	15	1.0	150	1.0	14.0	0.6425089	0.0
001	Nobody	16	1.0	90	1.0	15.0	0.9353056	1.0
001	Nobody	17	0.5	90	1.0	16.0	0.31178916	0.0
001	Nobody	18	0.5	120	1.0	17.0	1.1169022	1.0
001	Nobody	19	2.0	150	1.0	18.0	1.7329729	0.0
001	Nobody	20	1.0	90	1.0	19.0	1.229751	1.0
001	Nobody	21	0.5	120	1.0	20.0	0.86509484	1.0
001	Nobody	22	1.0	120	1.0	21.0	0.69209284	0.0
001	Nobody	23	0.5	90	1.0	22.0	1.0181087	0.0
001	Nobody	24	2.0	120	1.0	23.0	1.0109459	0.0
001	Nobody	25	0.5	150	1.0	24.0	0.5110512	0.0
001	Nobody	26	2.0	90	1.0	25.0	1.951822	0.0
001	Nobody	27	1.0	150	1.0	26.0	1.0678259	0.0
001	Nobody	28	1.0	120	1.0	27.0	0.52839994	1.0
001	Nobody	29	1.0	90	1.0	28.0	1.4711119	0.0
001	Nobody	30	0.5	150	1.0	29.0	1.181865	0.0
001	Nobody	31	2.0	120	1.0	30.0	1.1348494	1.0
001	Nobody	32	2.0	90	1.0	31.0	1.469946	0.0
001	Nobody	33	1.0	150	1.0	32.0	0.87584615	1.0
001	Nobody	34	0.5	90	1.0	33.0	1.0707587	0.0
001	Nobody	35	2.0	150	1.0	34.0	1.0329955	1.0
001	Nobody	36	0.5	120	1.0	35.0	0.5602454	1.0
001	Nobody	37	2.0	90	1.0	36.0	1.3652691	1.0
001	Nobody	38	0.5	120	1.0	37.0	0.673513	0.0
001	Nobody	39	2.0	120	1.0	38.0	1.2865225	1.0
001	Nobody	40	1.0	150	1.0	39.0	1.3068871	0.0
001	Nobody	41	0.5	90	1.0	40.0	1.097123	0.0
001	Nobody	42	1.0	90	1.0	41.0	1.2836074	1.0
001	Nobody	43	0.5	150	1.0	42.0	0.6370927	0.0
001	Nobody	44	2.0	150	1.0	43.0	1.8662031	1.0
001	Nobody	45	1.0	120	1.0	44.0	1.4211532	1.0
001	Nobody	46	1.0	150	1.0	45.0	1.0936648	0.0
001	Nobody	47	0.5	150	1.0	46.0	0.9985612	0.0
001	Nobody	48	0.5	90	1.0	47.0	0.8469978	0.0
001	Nobody	49	2.0	120	1.0	48.0	1.6155318	0.0
001	Nobody	50	2.0	150	1.0	49.0	1.839571	1.0
001	Nobody	51	1.0	90	1.0	50.0	1.1666862	0.0
001	Nobody	52	1.0	120	1.0	51.0	0.9400732	1.0
001	Nobody	53	2.0	90	1.0	52.0	1.4451466	0.0
001	Nobody	54	0.5	120	1.0	53.0	0.4589736	0.0
